transaction_id,transaction_date,customer_id,product_id,branch_id,channel,quantity,unit_price,discount_percentage,gross_revenue,net_revenue,cost,gross_margin,payment_status
T100033,2023-01-02,C1073,P102,BR-North,Online,2,86.45,5,172.9,164.26,166.36,-2.1,Pending
T100034,2023-01-03,C1048,P117,BR-Central,Direct Sales,1,483.16,0,483.16,483.16,293.51,189.65,Paid
T100035,2023-01-03,C1009,P102,BR-North,Branch,1,86.45,5,86.45,82.13,83.18,-1.05,Paid
T100036,2023-01-03,C1057,P110,BR-East,Partner,4,309.81,5,1239.24,1177.28,1001.48,175.8,Paid
T100037,2023-01-03,C1010,P118,BR-West,Direct Sales,3,159.26,10,477.78,430.0,392.1,37.9,Overdue
T100038,2023-01-03,C1009,P128,BR-South,Dealer,1,53.36,0,53.36,53.36,42.22,11.14,Paid
T100039,2023-01-03,C1072,P122,BR-South,Direct Sales,1,136.8,5,136.8,129.96,128.16,1.8,Overdue
T100040,2023-01-03,C1110,P107,BR-North,Online,2,99.09,0,198.18,198.18,190.42,7.76,Paid
T100041,2023-01-03,C1021,P115,BR-East,Online,3,307.7,0,923.1,923.1,887.55,35.55,Paid
T100042,2023-01-03,C1012,P118,BR-West,Branch,1,159.26,15,159.26,135.37,130.7,4.67,Paid
T100043,2023-01-03,C1069,P111,BR-East,Partner,2,153.15,0,306.3,306.3,226.7,79.6,Paid
T100044,2023-01-03,C1032,P124,BR-North,Online,1,277.89,0,277.89,277.89,220.8,57.09,Overdue
T100045,2023-01-03,C1102,P112,BR-South,Online,1,233.47,5,233.47,221.8,143.45,78.35,Paid
T100046,2023-01-03,C1044,P108,BR-North,Dealer,1,159.08,0,159.08,159.08,110.17,48.91,Paid
T100047,2023-01-03,C1037,P124,BR-North,Online,2,277.89,10,555.78,500.2,441.6,58.6,Paid
T100048,2023-01-03,C1092,P102,BR-West,Dealer,1,86.45,0,86.45,86.45,83.18,3.27,Paid
T100049,2023-01-03,C1104,P112,BR-North,Dealer,2,233.47,20,466.94,373.55,286.9,86.65,Paid
T100050,2023-01-03,C1060,P103,BR-South,Branch,1,38.46,0,38.46,38.46,22.7,15.76,Paid
T100051,2023-01-03,C1026,P120,BR-South,Direct Sales,2,69.8,10,139.6,125.64,97.92,27.72,Pending
T100052,2023-01-04,C1034,P124,BR-West,Direct Sales,1,277.89,15,277.89,236.21,220.8,15.41,Paid
T100053,2023-01-04,C1048,P127,BR-South,Dealer,1,302.97,0,302.97,302.97,279.92,23.05,Paid
T100054,2023-01-04,C1019,P116,BR-South,Online,2,41.88,5,83.76,79.57,47.36,32.21,Paid
T100055,2023-01-04,C1074,P117,BR-South,Online,1,483.16,5,483.16,459.0,293.51,165.49,Paid
T100056,2023-01-04,C1012,P116,BR-East,Partner,1,41.88,0,41.88,41.88,23.68,18.2,Paid
T100057,2023-01-04,C1062,P107,BR-Central,Dealer,1,99.09,10,99.09,89.18,95.21,-6.03,Overdue
T100058,2023-01-04,C1060,P126,BR-South,Branch,1,470.35,15,470.35,399.8,273.53,126.27,Partially Paid
T100059,2023-01-04,C1097,P112,BR-North,Direct Sales,4,233.47,15,933.88,793.8,573.8,220.0,Pending
T100060,2023-01-04,C1039,P127,BR-South,Partner,3,302.97,0,908.91,908.91,839.76,69.15,Pending
T100061,2023-01-04,C1020,P122,BR-South,Partner,2,136.8,0,273.6,273.6,256.32,17.28,Paid
T100062,2023-01-04,C1077,P123,BR-East,Online,1,162.74,0,162.74,162.74,112.94,49.8,Paid
T100063,2023-01-04,C1106,P108,BR-North,Branch,2,159.08,10,318.16,286.34,220.34,66.0,Paid
T100064,2023-01-04,C1063,P120,BR-East,Dealer,4,69.8,5,279.2,265.24,195.84,69.4,Paid
T100065,2023-01-04,C1014,P117,BR-East,Dealer,2,483.16,0,966.32,966.32,587.02,379.3,Overdue
T100066,2023-01-05,C1074,P119,BR-North,Branch,2,345.27,30,690.54,483.38,495.78,-12.4,Paid
T100067,2023-01-05,C1020,P101,BR-Central,Branch,1,368.68,10,368.68,331.81,247.16,84.65,Pending
T100068,2023-01-05,C1033,P123,BR-South,Direct Sales,1,162.74,15,162.74,138.33,112.94,25.39,Paid
T100069,2023-01-05,C1055,P120,BR-South,Online,3,69.8,10,209.4,188.46,146.88,41.58,Paid
T100070,2023-01-05,C1074,P110,BR-North,Online,1,309.81,15,309.81,263.34,250.37,12.97,Partially Paid
T100071,2023-01-05,C1064,P101,BR-West,Dealer,3,368.68,10,1106.04,995.44,741.48,253.96,Paid
T100072,2023-01-05,C1082,P101,BR-East,Online,2,368.68,10,737.36,663.62,494.32,169.3,Partially Paid
T100073,2023-01-05,C1001,P122,BR-North,Dealer,1,136.8,10,136.8,123.12,128.16,-5.04,Paid
T100074,2023-01-05,C1097,P114,BR-East,Partner,1,300.28,20,300.28,240.22,251.05,-10.83,Partially Paid
T100075,2023-01-05,C1105,P119,BR-North,Online,2,345.27,30,690.54,483.38,495.78,-12.4,Paid
T100076,2023-01-05,C1087,P128,BR-West,Online,1,53.36,10,53.36,48.02,42.22,5.8,Pending
T100077,2023-01-05,C1002,P119,BR-Central,Direct Sales,1,345.27,25,345.27,258.95,247.89,11.06,Overdue
T100078,2023-01-05,C1074,P119,BR-West,Online,1,345.27,5,345.27,328.01,247.89,80.12,Paid
T100079,2023-01-05,C1065,P125,BR-West,Branch,4,485.1,25,1940.4,1455.3,1198.12,257.18,Paid
T100080,2023-01-05,C1045,P106,BR-South,Online,1,417.9,15,417.9,355.22,328.59,26.63,Paid
T100081,2023-01-05,C1040,P101,BR-North,Branch,1,368.68,15,368.68,313.38,247.16,66.22,Paid
T100082,2023-01-05,C1001,P109,BR-North,Online,3,221.65,10,664.95,598.46,507.12,91.34,Paid
T100083,2023-01-05,C1024,P115,BR-Central,Direct Sales,2,307.7,25,615.4,461.55,591.7,-130.15,Paid
T100084,2023-01-05,C1051,P113,BR-South,Online,2,107.84,10,215.68,194.11,150.06,44.05,Paid
T100085,2023-01-05,C1023,P115,BR-South,Dealer,3,307.7,20,923.1,738.48,887.55,-149.07,Paid
T100086,2023-01-06,C1042,P105,BR-North,Direct Sales,1,20.09,20,20.09,16.07,11.23,4.84,Paid
T100087,2023-01-06,C1000,P124,BR-South,Online,2,277.89,20,555.78,444.62,441.6,3.02,Pending
T100088,2023-01-06,C1028,P102,BR-North,Online,4,86.45,20,345.8,276.64,332.72,-56.08,Paid
T100089,2023-01-06,C1025,P122,BR-West,Dealer,2,136.8,25,273.6,205.2,256.32,-51.12,Pending
T100090,2023-01-06,C1002,P128,BR-East,Dealer,1,53.36,25,53.36,40.02,42.22,-2.2,Paid
T100091,2023-01-06,C1030,P103,BR-Central,Dealer,3,38.46,10,115.38,103.84,68.1,35.74,Paid
T100092,2023-01-06,C1080,P129,BR-North,Direct Sales,3,32.16,5,96.48,91.66,72.6,19.06,Paid
T100093,2023-01-06,C1037,P117,BR-Central,Online,4,483.16,20,1932.64,1546.11,1174.04,372.07,Partially Paid
T100094,2023-01-06,C1014,P118,BR-North,Online,1,159.26,10,159.26,143.33,130.7,12.63,Paid
T100095,2023-01-06,C1075,P108,BR-East,Online,5,159.08,20,795.4,636.32,550.85,85.47,Paid
T100096,2023-01-06,C1082,P112,BR-East,Online,2,233.47,5,466.94,443.59,286.9,156.69,Paid
T100097,2023-01-06,C1101,P101,BR-East,Online,4,368.68,15,1474.72,1253.51,988.64,264.87,Paid
T100098,2023-01-06,C1034,P108,BR-North,Branch,1,159.08,15,159.08,135.22,110.17,25.05,Pending
T100099,2023-01-06,C1090,P105,BR-East,Online,1,20.09,30,20.09,14.06,11.23,2.83,Paid
T100100,2023-01-06,C1010,P107,BR-North,Dealer,1,99.09,10,99.09,89.18,95.21,-6.03,Paid
T100101,2023-01-06,C1025,P121,BR-North,Direct Sales,1,26.85,10,26.85,24.17,15.5,8.67,Paid
T100102,2023-01-06,C1047,P111,BR-East,Branch,5,153.15,20,765.75,612.6,566.75,45.85,Paid
T100103,2023-01-06,C1115,P123,BR-West,Online,1,162.74,10,162.74,146.47,112.94,33.53,Paid
T100104,2023-01-06,C1117,P103,BR-South,Branch,2,38.46,10,76.92,69.23,45.4,23.83,Paid
T100105,2023-01-06,C1042,P101,BR-South,Online,2,368.68,15,737.36,626.76,494.32,132.44,Partially Paid
T100106,2023-01-06,C1031,P125,BR-East,Branch,4,485.1,15,1940.4,1649.34,1198.12,451.22,Paid
T100107,2023-01-06,C1040,P124,BR-West,Branch,1,277.89,5,277.89,264.0,220.8,43.2,Paid
T100108,2023-01-06,C1075,P124,BR-North,Online,3,277.89,15,833.67,708.62,662.4,46.22,Paid
T100109,2023-01-07,C1039,P122,BR-West,Online,1,136.8,15,136.8,116.28,128.16,-11.88,Paid
T100110,2023-01-07,C1096,P115,BR-East,Branch,3,307.7,15,923.1,784.64,887.55,-102.91,Paid
T100111,2023-01-07,C1091,P100,BR-North,Dealer,1,193.52,15,193.52,164.49,109.3,55.19,Paid
T100112,2023-01-07,C1014,P104,BR-West,Dealer,2,304.55,5,609.1,578.64,388.34,190.3,Pending
T100113,2023-01-07,C1043,P123,BR-North,Branch,2,162.74,25,325.48,244.11,225.88,18.23,Paid
T100114,2023-01-07,C1096,P123,BR-South,Direct Sales,1,162.74,20,162.74,130.19,112.94,17.25,Paid
T100115,2023-01-07,C1095,P128,BR-West,Dealer,2,53.36,15,106.72,90.71,84.44,6.27,Paid
T100116,2023-01-07,C1031,P117,BR-East,Branch,1,483.16,20,483.16,386.53,293.51,93.02,Paid
T100117,2023-01-07,C1042,P113,BR-West,Partner,1,107.84,15,107.84,91.66,75.03,16.63,Partially Paid
T100118,2023-01-07,C1054,P110,BR-East,Online,1,309.81,15,309.81,263.34,250.37,12.97,Partially Paid
T100119,2023-01-07,C1111,P123,BR-West,Dealer,1,162.74,10,162.74,146.47,112.94,33.53,Paid
T100120,2023-01-07,C1042,P112,BR-West,Dealer,1,233.47,20,233.47,186.78,143.45,43.33,Paid
T100121,2023-01-07,C1113,P125,BR-South,Direct Sales,1,485.1,5,485.1,460.84,299.53,161.31,Paid
T100122,2023-01-07,C1034,P113,BR-South,Online,4,107.84,10,431.36,388.22,300.12,88.1,Paid
T100123,2023-01-07,C1055,P129,BR-South,Online,2,32.16,10,64.32,57.89,48.4,9.49,Paid
T100124,2023-01-07,C1118,P108,BR-South,Dealer,1,159.08,20,159.08,127.26,110.17,17.09,Paid
T100125,2023-01-07,C1068,P128,BR-South,Dealer,2,53.36,5,106.72,101.38,84.44,16.94,Paid
T100126,2023-01-07,C1057,P129,BR-West,Partner,4,32.16,10,128.64,115.78,96.8,18.98,Paid
T100127,2023-01-07,C1068,P101,BR-West,Branch,2,368.68,5,737.36,700.49,494.32,206.17,Pending
T100128,2023-01-07,C1092,P124,BR-East,Branch,2,277.89,25,555.78,416.84,441.6,-24.76,Paid
T100129,2023-01-07,C1058,P106,BR-Central,Online,2,417.9,5,835.8,794.01,657.18,136.83,Paid
T100130,2023-01-07,C1112,P105,BR-Central,Branch,1,20.09,20,20.09,16.07,11.23,4.84,Partially Paid
T100131,2023-01-07,C1098,P129,BR-South,Partner,4,32.16,15,128.64,109.34,96.8,12.54,Paid
T100132,2023-01-07,C1118,P109,BR-North,Online,1,221.65,10,221.65,199.48,169.04,30.44,Paid
T100133,2023-01-07,C1002,P111,BR-Central,Partner,3,153.15,20,459.45,367.56,340.05,27.51,Partially Paid
T100134,2023-01-07,C1028,P121,BR-West,Branch,1,26.85,10,26.85,24.17,15.5,8.67,Paid
T100135,2023-01-07,C1095,P125,BR-West,Direct Sales,5,485.1,10,2425.5,2182.95,1497.65,685.3,Paid
T100136,2023-01-07,C1063,P119,BR-North,Direct Sales,2,345.27,15,690.54,586.96,495.78,91.18,Paid
T100137,2023-01-08,C1022,P118,BR-East,Online,2,159.26,15,318.52,270.74,261.4,9.34,Paid
T100138,2023-01-08,C1107,P122,BR-West,Branch,1,136.8,20,136.8,109.44,128.16,-18.72,Paid
T100139,2023-01-08,C1076,P116,BR-East,Online,1,41.88,10,41.88,37.69,23.68,14.01,Pending
T100140,2023-01-08,C1021,P124,BR-Central,Online,1,277.89,20,277.89,222.31,220.8,1.51,Paid
T100141,2023-01-08,C1032,P112,BR-East,Online,5,233.47,5,1167.35,1108.98,717.25,391.73,Paid
T100142,2023-01-08,C1069,P102,BR-North,Branch,1,86.45,5,86.45,82.13,83.18,-1.05,Paid
T100143,2023-01-08,C1107,P124,BR-North,Dealer,4,277.89,20,1111.56,889.25,883.2,6.05,Paid
T100144,2023-01-08,C1011,P106,BR-North,Online,5,417.9,20,2089.5,1671.6,1642.95,28.65,Pending
T100145,2023-01-08,C1065,P126,BR-Central,Dealer,1,470.35,5,470.35,446.83,273.53,173.3,Paid
T100146,2023-01-08,C1028,P117,BR-East,Branch,1,483.16,15,483.16,410.69,293.51,117.18,Paid
T100147,2023-01-08,C1014,P118,BR-South,Branch,2,159.26,25,318.52,238.89,261.4,-22.51,Overdue
T100148,2023-01-08,C1032,P104,BR-East,Dealer,1,304.55,15,304.55,258.87,194.17,64.7,Paid
T100149,2023-01-08,C1018,P121,BR-East,Online,2,26.85,20,53.7,42.96,31.0,11.96,Paid
T100150,2023-01-08,C1041,P122,BR-East,Branch,1,136.8,10,136.8,123.12,128.16,-5.04,Pending
T100151,2023-01-08,C1043,P109,BR-North,Branch,3,221.65,15,664.95,565.21,507.12,58.09,Paid
T100152,2023-01-08,C1000,P113,BR-East,Online,5,107.84,10,539.2,485.28,375.15,110.13,Overdue
T100153,2023-01-08,C1047,P101,BR-East,Partner,2,368.68,5,737.36,700.49,494.32,206.17,Pending
T100154,2023-01-09,C1031,P109,BR-West,Online,1,221.65,10,221.65,199.48,169.04,30.44,Paid
T100155,2023-01-09,C1085,P112,BR-West,Direct Sales,1,233.47,30,233.47,163.43,143.45,19.98,Paid
T100156,2023-01-09,C1040,P107,BR-North,Dealer,1,99.09,20,99.09,79.27,95.21,-15.94,Paid
T100157,2023-01-09,C1044,P117,BR-South,Dealer,2,483.16,20,966.32,773.06,587.02,186.04,Paid
T100158,2023-01-09,C1042,P110,BR-East,Online,3,309.81,20,929.43,743.54,751.11,-7.57,Paid
T100159,2023-01-09,C1023,P114,BR-West,Direct Sales,1,300.28,10,300.28,270.25,251.05,19.2,Overdue
T100160,2023-01-09,C1017,P114,BR-East,Partner,1,300.28,15,300.28,255.24,251.05,4.19,Paid
T100161,2023-01-09,C1042,P121,BR-North,Online,4,26.85,10,107.4,96.66,62.0,34.66,Paid
T100162,2023-01-09,C1029,P105,BR-South,Online,1,20.09,10,20.09,18.08,11.23,6.85,Paid
T100163,2023-01-09,C1017,P111,BR-North,Dealer,5,153.15,10,765.75,689.18,566.75,122.43,Paid
T100164,2023-01-10,C1099,P126,BR-North,Online,1,470.35,20,470.35,376.28,273.53,102.75,Partially Paid
T100165,2023-01-10,C1066,P108,BR-West,Branch,5,159.08,10,795.4,715.86,550.85,165.01,Partially Paid
T100166,2023-01-10,C1022,P109,BR-North,Partner,1,221.65,15,221.65,188.4,169.04,19.36,Paid
T100167,2023-01-10,C1063,P128,BR-South,Partner,2,53.36,5,106.72,101.38,84.44,16.94,Paid
T100168,2023-01-10,C1055,P116,BR-East,Direct Sales,2,41.88,5,83.76,79.57,47.36,32.21,Paid
T100169,2023-01-10,C1082,P122,BR-East,Direct Sales,1,136.8,20,136.8,109.44,128.16,-18.72,Paid
T100170,2023-01-10,C1070,P122,BR-North,Branch,2,136.8,10,273.6,246.24,256.32,-10.08,Pending
T100171,2023-01-10,C1011,P129,BR-East,Direct Sales,1,32.16,10,32.16,28.94,24.2,4.74,Paid
T100172,2023-01-10,C1075,P126,BR-South,Branch,3,470.35,10,1411.05,1269.94,820.59,449.35,Overdue
T100173,2023-01-10,C1078,P123,BR-East,Online,2,162.74,15,325.48,276.66,225.88,50.78,Paid
T100174,2023-01-10,C1086,P116,BR-Central,Branch,5,41.88,10,209.4,188.46,118.4,70.06,Paid
T100175,2023-01-10,C1052,P114,BR-Central,Partner,2,300.28,5,600.56,570.53,502.1,68.43,Paid
T100176,2023-01-10,C1081,P117,BR-South,Online,4,483.16,15,1932.64,1642.74,1174.04,468.7,Paid
T100177,2023-01-10,C1079,P116,BR-East,Dealer,5,41.88,5,209.4,198.93,118.4,80.53,Pending
T100178,2023-01-10,C1045,P118,BR-East,Branch,2,159.26,10,318.52,286.67,261.4,25.27,Paid
T100179,2023-01-10,C1111,P116,BR-North,Branch,1,41.88,20,41.88,33.5,23.68,9.82,Paid
T100180,2023-01-10,C1087,P114,BR-Central,Direct Sales,4,300.28,10,1201.12,1081.01,1004.2,76.81,Paid
T100181,2023-01-11,C1092,P129,BR-North,Branch,2,32.16,20,64.32,51.46,48.4,3.06,Paid
T100182,2023-01-11,C1059,P103,BR-South,Partner,1,38.46,15,38.46,32.69,22.7,9.99,Paid
T100183,2023-01-11,C1028,P108,BR-North,Online,4,159.08,20,636.32,509.06,440.68,68.38,Paid
T100184,2023-01-11,C1045,P112,BR-North,Direct Sales,1,233.47,30,233.47,163.43,143.45,19.98,Paid
T100185,2023-01-11,C1114,P113,BR-Central,Dealer,2,107.84,10,215.68,194.11,150.06,44.05,Paid
T100186,2023-01-11,C1081,P107,BR-North,Online,5,99.09,10,495.45,445.9,476.05,-30.15,Paid
T100187,2023-01-11,C1029,P107,BR-North,Dealer,5,99.09,10,495.45,445.9,476.05,-30.15,Paid
T100188,2023-01-11,C1023,P108,BR-North,Partner,1,159.08,20,159.08,127.26,110.17,17.09,Paid
T100189,2023-01-11,C1010,P121,BR-Central,Partner,2,26.85,15,53.7,45.64,31.0,14.64,Overdue
T100190,2023-01-11,C1105,P118,BR-Central,Branch,2,159.26,20,318.52,254.82,261.4,-6.58,Paid
T100191,2023-01-11,C1087,P124,BR-North,Online,2,277.89,10,555.78,500.2,441.6,58.6,Paid
T100192,2023-01-11,C1031,P116,BR-Central,Online,1,41.88,5,41.88,39.79,23.68,16.11,Overdue
T100193,2023-01-11,C1065,P124,BR-South,Branch,1,277.89,15,277.89,236.21,220.8,15.41,Paid
T100194,2023-01-11,C1039,P128,BR-North,Online,2,53.36,25,106.72,80.04,84.44,-4.4,Paid
T100195,2023-01-11,C1013,P117,BR-West,Direct Sales,5,483.16,5,2415.8,2295.01,1467.55,827.46,Partially Paid
T100196,2023-01-11,C1026,P107,BR-North,Online,1,99.09,25,99.09,74.32,95.21,-20.89,Pending
T100197,2023-01-11,C1083,P125,BR-West,Online,4,485.1,15,1940.4,1649.34,1198.12,451.22,Pending
T100198,2023-01-12,C1009,P101,BR-North,Partner,1,368.68,25,368.68,276.51,247.16,29.35,Pending
T100199,2023-01-12,C1106,P105,BR-South,Branch,1,20.09,25,20.09,15.07,11.23,3.84,Paid
T100200,2023-01-12,C1049,P124,BR-South,Branch,1,277.89,10,277.89,250.1,220.8,29.3,Pending
T100201,2023-01-12,C1060,P120,BR-West,Online,1,69.8,10,69.8,62.82,48.96,13.86,Pending
T100202,2023-01-12,C1039,P101,BR-East,Online,1,368.68,10,368.68,331.81,247.16,84.65,Pending
T100203,2023-01-12,C1007,P110,BR-Central,Dealer,1,309.81,5,309.81,294.32,250.37,43.95,Paid
T100204,2023-01-12,C1076,P103,BR-East,Branch,3,38.46,10,115.38,103.84,68.1,35.74,Paid
T100205,2023-01-12,C1021,P101,BR-North,Partner,1,368.68,15,368.68,313.38,247.16,66.22,Paid
T100206,2023-01-12,C1024,P119,BR-East,Branch,5,345.27,10,1726.35,1553.72,1239.45,314.27,Paid
T100207,2023-01-12,C1083,P111,BR-North,Online,2,153.15,10,306.3,275.67,226.7,48.97,Paid
T100208,2023-01-12,C1063,P118,BR-North,Dealer,1,159.26,15,159.26,135.37,130.7,4.67,Paid
T100209,2023-01-12,C1029,P123,BR-South,Direct Sales,2,162.74,15,325.48,276.66,225.88,50.78,Paid
T100210,2023-01-12,C1108,P115,BR-Central,Online,2,307.7,10,615.4,553.86,591.7,-37.84,Paid
T100211,2023-01-12,C1091,P105,BR-West,Branch,1,20.09,10,20.09,18.08,11.23,6.85,Paid
T100212,2023-01-13,C1101,P126,BR-West,Direct Sales,5,470.35,10,2351.75,2116.58,1367.65,748.93,Pending
T100213,2023-01-13,C1081,P106,BR-Central,Partner,3,417.9,25,1253.7,940.28,985.77,-45.49,Pending
T100214,2023-01-13,C1017,P126,BR-West,Branch,3,470.35,5,1411.05,1340.5,820.59,519.91,Paid
T100215,2023-01-13,C1113,P120,BR-East,Direct Sales,1,69.8,25,69.8,52.35,48.96,3.39,Paid
T100216,2023-01-13,C1041,P109,BR-South,Branch,1,221.65,10,221.65,199.48,169.04,30.44,Partially Paid
T100217,2023-01-13,C1044,P126,BR-East,Branch,5,470.35,15,2351.75,1998.99,1367.65,631.34,Paid
T100218,2023-01-13,C1106,P107,BR-West,Online,3,99.09,15,297.27,252.68,285.63,-32.95,Paid
T100219,2023-01-13,C1081,P114,BR-East,Online,4,300.28,20,1201.12,960.9,1004.2,-43.3,Partially Paid
T100220,2023-01-13,C1053,P117,BR-North,Online,3,483.16,10,1449.48,1304.53,880.53,424.0,Paid
T100221,2023-01-13,C1038,P115,BR-West,Dealer,1,307.7,10,307.7,276.93,295.85,-18.92,Paid
T100222,2023-01-13,C1018,P129,BR-Central,Dealer,4,32.16,25,128.64,96.48,96.8,-0.32,Paid
T100223,2023-01-13,C1000,P124,BR-North,Online,3,277.89,15,833.67,708.62,662.4,46.22,Pending
T100224,2023-01-13,C1045,P103,BR-North,Branch,1,38.46,10,38.46,34.61,22.7,11.91,Paid
T100225,2023-01-13,C1079,P119,BR-West,Branch,1,345.27,25,345.27,258.95,247.89,11.06,Paid
T100226,2023-01-13,C1041,P102,BR-Central,Branch,5,86.45,5,432.25,410.64,415.9,-5.26,Partially Paid
T100227,2023-01-13,C1056,P104,BR-East,Online,5,304.55,5,1522.75,1446.61,970.85,475.76,Partially Paid
T100228,2023-01-13,C1063,P117,BR-North,Dealer,3,483.16,15,1449.48,1232.06,880.53,351.53,Paid
T100229,2023-01-13,C1029,P101,BR-North,Dealer,4,368.68,25,1474.72,1106.04,988.64,117.4,Pending
T100230,2023-01-13,C1045,P117,BR-East,Online,5,483.16,20,2415.8,1932.64,1467.55,465.09,Pending
T100231,2023-01-14,C1054,P111,BR-South,Online,1,153.15,5,153.15,145.49,113.35,32.14,Paid
T100232,2023-01-14,C1100,P109,BR-North,Branch,4,221.65,20,886.6,709.28,676.16,33.12,Paid
T100233,2023-01-14,C1025,P116,BR-East,Online,1,41.88,15,41.88,35.6,23.68,11.92,Paid
T100234,2023-01-14,C1109,P129,BR-South,Dealer,1,32.16,10,32.16,28.94,24.2,4.74,Paid
T100235,2023-01-14,C1006,P116,BR-East,Online,3,41.88,10,125.64,113.08,71.04,42.04,Paid
T100236,2023-01-14,C1024,P104,BR-West,Direct Sales,4,304.55,15,1218.2,1035.47,776.68,258.79,Paid
T100237,2023-01-14,C1040,P101,BR-West,Branch,1,368.68,10,368.68,331.81,247.16,84.65,Paid
T100238,2023-01-14,C1052,P115,BR-North,Direct Sales,4,307.7,10,1230.8,1107.72,1183.4,-75.68,Paid
T100239,2023-01-14,C1110,P102,BR-North,Dealer,2,86.45,15,172.9,146.96,166.36,-19.4,Overdue
T100240,2023-01-14,C1053,P124,BR-Central,Online,3,277.89,15,833.67,708.62,662.4,46.22,Pending
T100241,2023-01-14,C1038,P103,BR-North,Online,4,38.46,25,153.84,115.38,90.8,24.58,Paid
T100242,2023-01-14,C1092,P109,BR-South,Dealer,1,221.65,15,221.65,188.4,169.04,19.36,Paid
T100243,2023-01-14,C1104,P111,BR-North,Dealer,1,153.15,20,153.15,122.52,113.35,9.17,Paid
T100244,2023-01-14,C1023,P123,BR-East,Online,5,162.74,15,813.7,691.64,564.7,126.94,Overdue
T100245,2023-01-14,C1032,P106,BR-South,Online,4,417.9,5,1671.6,1588.02,1314.36,273.66,Partially Paid
T100246,2023-01-14,C1030,P111,BR-Central,Partner,2,153.15,20,306.3,245.04,226.7,18.34,Paid
